transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122546562286,0.386118625048,-0.263572062762,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122512484012,0.386763117892,-0.264250633881,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122466830593,0.386618126852,-0.264151296259,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.122785386662,0.386085013167,-0.263299626505,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.12243407146,0.386436460766,-0.264002389306,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123775853084,0.387476115662,-0.263700262578,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123813297886,0.387823890494,-0.264010592609,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123657579778,0.387306415001,-0.263648835223,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123900088194,0.38674622361,-0.262846135415,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123787391443,0.387522871773,-0.26373548033,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.12369125894,0.387201569908,-0.263510310968,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123635460525,0.387879762685,-0.26424430216,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123593695717,0.387743417224,-0.264149721507,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.12386908148,0.387217760281,-0.263348678801,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,pooled_candidate_rmse,lower,128,0.123537032784,0.387451644591,-0.263914611808,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108239153596,0.350874152836,-0.24263499924,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108171106884,0.351196513993,-0.243025407109,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.10808980163,0.350870413192,-0.242780611563,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.10819750063,0.350336082684,-0.242138582055,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108220854266,0.35090862202,-0.242687767754,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108089847566,0.350551632938,-0.242461785372,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108067308084,0.351501322789,-0.243434014705,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.10803357081,0.350976322036,-0.242942751226,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108375568832,0.350510714998,-0.242135146166,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,candidate_mae,lower,128,0.108017507884,0.351012075041,-0.242994567158,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.841875,0.601796875,0.240078125,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.84421875,0.5946875,0.24953125,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.84078125,0.5946875,0.24609375,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.840390625,0.594765625,0.245625,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.840703125,0.588828125,0.251875,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.84375,0.59546875,0.24828125,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.8425,0.587890625,0.254609375,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.8425,0.59078125,0.25171875,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.840703125,0.590234375,0.25046875,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,topk_agreement,higher,128,0.84609375,0.5921875,0.25390625,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00256219974678,0.0189777534292,-0.0164155536824,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00249720933561,0.019054940773,-0.0165577314374,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00257714787101,0.0191665660171,-0.0165894181461,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00257578338837,0.0191663589101,-0.0165905755217,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00259170922323,0.0192828324877,-0.0166911232645,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.0025503043901,0.0193829630538,-0.0168326586637,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.0026180672406,0.0198251378372,-0.0172070705966,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00254636914811,0.0192007844465,-0.0166544152984,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00263633720996,0.0194531712642,-0.0168168340543,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,boundary_inversion_rate,lower,128,0.00253506699596,0.0194292732658,-0.0168942062699,favors_transform,false
identity,current_pca,native,0,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.734375,8.2265625,-6.4921875,favors_transform,false
identity,current_pca,native,1,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.8671875,8.25,-6.3828125,favors_transform,false
identity,current_pca,native,2,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.7734375,7.2578125,-5.484375,favors_transform,false
identity,current_pca,native,3,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.953125,6.03125,-4.078125,favors_transform,false
identity,current_pca,native,4,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.734375,7.6015625,-5.8671875,favors_transform,false
identity,current_pca,native,5,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.6484375,8.5625,-6.9140625,favors_transform,false
identity,current_pca,native,6,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.8359375,7.59375,-5.7578125,favors_transform,false
identity,current_pca,native,7,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.7421875,6.3671875,-4.625,favors_transform,false
identity,current_pca,native,8,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.796875,8.6640625,-6.8671875,favors_transform,false
identity,current_pca,native,9,fast_all,fast_all,fast_all,common_endpoint,exact_best_rank,lower,128,1.8125,7.9140625,-6.1015625,favors_transform,false
identity,current_pca,native,-1,full,full,full,common_endpoint,mean_per_query_candidate_rmse,lower,128,0.0135507644989,0.0020083822172,0.0115423822817,favors_pca,false
identity,current_pca,native,-1,full,full,full,common_endpoint,pooled_candidate_rmse,lower,128,0.01352823774,0.00216407267195,0.011364165068,favors_pca,false
identity,current_pca,native,-1,full,full,full,common_endpoint,candidate_mae,lower,128,0.010126635597,0.00156023058121,0.00856640501582,favors_pca,false
identity,current_pca,native,-1,full,full,full,common_endpoint,topk_agreement,higher,128,0.9653125,0.994296875,-0.028984375,favors_pca,false
identity,current_pca,native,-1,full,full,full,common_endpoint,boundary_inversion_rate,lower,128,0.000135743757002,4.15158251342e-06,0.000131592174488,favors_pca,false
identity,current_pca,native,-1,full,full,full,common_endpoint,exact_best_rank,lower,128,1.0625,1.015625,0.046875,favors_pca,false
