transform,baseline,plan_control,rotation_seed,stage,transform_stage,pca_stage,stage_match_type,metric,better_direction,query_count,transform_mean,pca_mean,transform_minus_pca,descriptive_direction,matched_budget
residual_pca,current_pca,frozen-pca,-1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,exact_best_rank,lower,1000,1.014,1.011,0.003,favors_pca,true
residual_pca,current_pca,frozen-pca,0,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186992126671,0.186534245342,0.0004578813296,favors_pca,true
residual_pca,current_pca,frozen-pca,1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186966794135,0.186724374995,0.0002424191404,favors_pca,true
residual_pca,current_pca,frozen-pca,2,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.187019233561,0.186447186235,0.000572047326,favors_pca,true
residual_pca,current_pca,frozen-pca,3,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.187018245923,0.18651524368,0.0005030022431,favors_pca,true
residual_pca,current_pca,frozen-pca,4,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186962070166,0.186585525732,0.0003765444348,favors_pca,true
residual_pca,current_pca,frozen-pca,5,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186947735011,0.186518525128,0.0004292098836,favors_pca,true
residual_pca,current_pca,frozen-pca,6,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.18693344315,0.186483458373,0.0004499847769,favors_pca,true
residual_pca,current_pca,frozen-pca,7,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.187012210412,0.186627507457,0.0003847029557,favors_pca,true
residual_pca,current_pca,frozen-pca,8,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186937397636,0.186531537985,0.0004058596517,favors_pca,true
residual_pca,current_pca,frozen-pca,9,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,mean_per_query_candidate_rmse,lower,1000,0.186913383672,0.18655694172,0.0003564419519,favors_pca,true
residual_pca,current_pca,frozen-pca,0,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.185497638068,0.185039594202,0.000458043865963,favors_pca,true
residual_pca,current_pca,frozen-pca,1,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.185475497356,0.185211478207,0.000264019148748,favors_pca,true
residual_pca,current_pca,frozen-pca,2,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.185506846866,0.184956044289,0.000550802577022,favors_pca,true
residual_pca,current_pca,frozen-pca,3,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.18551246859,0.18501438244,0.000498086149502,favors_pca,true
residual_pca,current_pca,frozen-pca,4,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.185472471341,0.185081836905,0.000390634436341,favors_pca,true
residual_pca,current_pca,frozen-pca,5,fast_prefix_1,fast_prefix_1,fast_prefix_1,matched_intermediate_family_and_bytes,pooled_candidate_rmse,lower,1000,0.185452104191,0.185022004769,0.000430099422803,favors_pca,true
