dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	19	4	118803.13884544453
sift	128	A_TO_B	0	IDENTITY	19	5	30060.116241564687
sift	128	A_TO_B	0	IDENTITY	19	6	7449.631442946125
sift	128	A_TO_B	0	IDENTITY	19	7	1857.3245570977442
sift	128	A_TO_B	0	IDENTITY	19	8	470.62012712315175
sift	128	A_TO_B	0	IDENTITY	19	9	118.03233038340201
sift	128	A_TO_B	0	IDENTITY	19	10	29.26013401557897
sift	128	A_TO_B	0	IDENTITY	19	11	7.294807374082382
sift	128	A_TO_B	0	IDENTITY	20	1	9703830.135540519
sift	128	A_TO_B	0	IDENTITY	20	2	1926835.0723777867
sift	128	A_TO_B	0	IDENTITY	20	3	468753.6089126623
sift	128	A_TO_B	0	IDENTITY	20	4	117491.09380253794
sift	128	A_TO_B	0	IDENTITY	20	5	29376.745665387196
sift	128	A_TO_B	0	IDENTITY	20	6	7435.756840230339
sift	128	A_TO_B	0	IDENTITY	20	7	1854.2160588009015
sift	128	A_TO_B	0	IDENTITY	20	8	456.8240722383315
sift	128	A_TO_B	0	IDENTITY	20	9	114.3542005929113
sift	128	A_TO_B	0	IDENTITY	20	10	28.895662029994433
sift	128	A_TO_B	0	IDENTITY	20	11	7.3386653561621
sift	128	A_TO_B	0	IDENTITY	21	1	9802870.802845778
sift	128	A_TO_B	0	IDENTITY	21	2	1948061.7642739257
sift	128	A_TO_B	0	IDENTITY	21	3	484313.85325766524
sift	128	A_TO_B	0	IDENTITY	21	4	118675.41572471394
sift	128	A_TO_B	0	IDENTITY	21	5	29865.158433253797
sift	128	A_TO_B	0	IDENTITY	21	6	7462.550867375558
sift	128	A_TO_B	0	IDENTITY	21	7	1842.5245228791018
sift	128	A_TO_B	0	IDENTITY	21	8	468.22698956196814
sift	128	A_TO_B	0	IDENTITY	21	9	116.54302033383979
sift	128	A_TO_B	0	IDENTITY	21	10	29.35732864655003
