dataset	stage	fold	plan	arm	fit_total_sse	eval_total_sse	fit_sse_per_vector	eval_sse_per_vector	eval_gain_vs_U_pct	payload_bits_per_vector	payload_bytes_per_vector	groups_outside_6_10	axes_bits_1	axes_bits_2	axes_bits_3	axes_bits_4	axes_bits_5	axes_bits_6	axes_bits_7	axes_bits_8	axes_bits_9	shared_transform_bytes	shared_pairing_bytes	shared_bit_metadata_bytes	shared_selected_codebook_bytes	selected_lookup_entries	shared_model_total_bytes	archive_file	archive_sha256	archive_bytes	pairing_shared_compute_cpu_seconds	pairing_shared_compute_wall_seconds
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	ADJ	U	112.11483393058604	118.14789482143586	0.013685892813792242	0.014422350442069807	0.0	512	64	0	0	0	0	128	0	0	0	0	0	3072	128	128	16384	2048	19712	models/GIST1M_HEAD128_B_TO_A_ADJ.npz	8c4dc59f8881c241a79a04c37cf66bc79b7db49cb2a08c0b7d816fd7367ce794	1341242	9.959528794999997	9.980613924562931
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	ADJ	V	96.12184828697481	101.75381665210287	0.011733624058468605	0.012421120196789901	13.875895287097883	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_B_TO_A_ADJ.npz	8c4dc59f8881c241a79a04c37cf66bc79b7db49cb2a08c0b7d816fd7367ce794	1341242	9.959528794999997	9.980613924562931
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	ADJ	E	95.12660826416648	101.47970499788175	0.011612134797871885	0.012387659301499238	14.107902513832983	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_B_TO_A_ADJ.npz	8c4dc59f8881c241a79a04c37cf66bc79b7db49cb2a08c0b7d816fd7367ce794	1341242	9.959528794999997	9.980613924562931
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	ADJ	S	94.61249407862326	101.03787903140386	0.01154937671858194	0.012333725467700667	14.481862597629359	512	64	4	0	0	29	75	19	5	0	0	0	3072	128	128	18880	2360	22208	models/GIST1M_HEAD128_B_TO_A_ADJ.npz	8c4dc59f8881c241a79a04c37cf66bc79b7db49cb2a08c0b7d816fd7367ce794	1341242	9.959528794999997	9.980613924562931
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	U	104.2663844939954	110.62072928619475	0.012727830138427173	0.013503506992943694	0.0	512	64	0	0	0	11	106	11	0	0	0	0	3072	128	128	17088	2136	20416	models/GIST1M_HEAD128_B_TO_A_CORR_GREEDY.npz	3bb6361650a065d254a7392a84422c5a2c81ab8a3b24ddecf24bb575f219ae21	1341242	9.815853060999999	9.835866748355329
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	V	95.90578072079697	101.6945476612435	0.011707248623144161	0.012413885212554139	8.06917625887069	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_B_TO_A_CORR_GREEDY.npz	3bb6361650a065d254a7392a84422c5a2c81ab8a3b24ddecf24bb575f219ae21	1341242	9.815853060999999	9.835866748355329
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	E	94.53212528349744	100.92961892205776	0.011539566074645683	0.012320510122321503	8.760663961150017	512	64	0	0	0	30	72	22	4	0	0	0	3072	128	128	18816	2352	22144	models/GIST1M_HEAD128_B_TO_A_CORR_GREEDY.npz	3bb6361650a065d254a7392a84422c5a2c81ab8a3b24ddecf24bb575f219ae21	1341242	9.815853060999999	9.835866748355329
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	CORR_GREEDY	S	94.53212528349744	100.92961892205776	0.011539566074645683	0.012320510122321503	8.760663961150017	512	64	0	0	0	30	72	22	4	0	0	0	3072	128	128	18816	2352	22144	models/GIST1M_HEAD128_B_TO_A_CORR_GREEDY.npz	3bb6361650a065d254a7392a84422c5a2c81ab8a3b24ddecf24bb575f219ae21	1341242	9.815853060999999	9.835866748355329
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	EA	U	95.60717387008	100.97254990039846	0.0116707975915625	0.012325750720263484	0.0	512	64	0	0	0	27	74	27	0	0	0	0	3072	128	128	18112	2264	21440	models/GIST1M_HEAD128_B_TO_A_EA.npz	615e4c22e20bbd216d5343698281b8fe46688d2201400ddfdae228b185b3bdbf	1341242	10.014491547999995	10.036911373026669
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	EA	V	95.64725063449214	100.55108563256194	0.011675689774718279	0.012274302445381096	0.4174047978903861	512	64	0	0	0	25	78	25	0	0	0	0	3072	128	128	17984	2248	21312	models/GIST1M_HEAD128_B_TO_A_EA.npz	615e4c22e20bbd216d5343698281b8fe46688d2201400ddfdae228b185b3bdbf	1341242	10.014491547999995	10.036911373026669
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	EA	E	94.42969712214611	100.35743134784677	0.011527062636980726	0.012250663006328951	0.6091938384823026	512	64	0	0	0	30	72	22	4	0	0	0	3072	128	128	18816	2352	22144	models/GIST1M_HEAD128_B_TO_A_EA.npz	615e4c22e20bbd216d5343698281b8fe46688d2201400ddfdae228b185b3bdbf	1341242	10.014491547999995	10.036911373026669
GIST1M_HEAD128	RESIDUAL_NLIST1024	B_TO_A	EA	S	94.42969712214611	100.35743134784677	0.011527062636980726	0.012250663006328951	0.6091938384823026	512	64	0	0	0	30	72	22	4	0	0	0	3072	128	128	18816	2352	22144	models/GIST1M_HEAD128_B_TO_A_EA.npz	615e4c22e20bbd216d5343698281b8fe46688d2201400ddfdae228b185b3bdbf	1341242	10.014491547999995	10.036911373026669
