dataset	stage	fold	plan	arm	group	dim1	dim2	local_axis	bits	group_bits	fit_sse	eval_sse
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	5	10	11	0	5	10	37761.33845134312	39785.194259974785
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	5	10	11	1	5	10	36644.30363453671	35326.40372989369
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	6	12	13	0	5	10	31346.03408471789	37815.866312966675
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	6	12	13	1	5	10	35811.72788603483	38060.38726322116
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	7	14	15	0	5	10	33147.70882854567	34388.134569267204
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	7	14	15	1	5	10	24648.539044426918	30025.49296398361
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	8	16	17	0	5	10	32559.315084183974	34700.69545688412
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	8	16	17	1	5	10	35883.628116704356	35361.493045876865
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	9	18	19	0	5	10	28129.42404784212	30703.57274754402
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	9	18	19	1	5	10	29994.050697198814	25390.390290790874
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	10	20	21	0	5	10	31570.489576741737	34186.167320783476
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	10	20	21	1	5	10	28936.28621798362	27258.336389810946
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	11	22	23	0	5	10	29101.85763699431	32349.025405734286
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	11	22	23	1	5	10	24194.713681613182	30044.12933161221
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	12	24	25	0	5	10	27173.279568346887	28599.659881325664
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	12	24	25	1	5	10	25687.517125972085	25334.994589274844
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	13	26	27	0	5	10	25966.979593802942	27795.091894918096
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	13	26	27	1	5	10	28104.08718583591	33760.017971552734
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	14	28	29	0	5	10	27980.239429724315	26456.53665283457
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	14	28	29	1	5	10	23020.471415851833	20706.157926010597
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	15	30	31	0	5	10	26073.584348669094	25375.86686445492
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	15	30	31	1	5	10	21452.092795885663	22438.766242101963
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	16	32	33	0	5	10	24725.675839738753	23471.88134674023
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	16	32	33	1	5	10	23030.900205387792	23235.693036552737
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	17	34	35	0	5	9	23878.754363041895	21835.81629405468
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	17	34	35	1	4	9	52073.11154309819	57901.75107306326
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	18	36	37	0	4	8	48600.81451456806	53378.91701520598
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	18	36	37	1	4	8	47182.50114808274	44956.09489616122
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	19	38	39	0	5	9	20126.083299701633	19953.613359074945
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	19	38	39	1	4	9	47954.1009663484	50934.85758478971
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	20	40	41	0	4	8	43304.552762678315	46129.83382564701
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	20	40	41	1	4	8	42153.289597250594	44282.48516980145
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	21	42	43	0	4	8	43267.178972305395	44805.09877348746
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	21	42	43	1	4	8	46006.11856413804	43892.06046712371
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	22	44	45	0	4	8	41411.55744334254	39971.650923413654
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	22	44	45	1	4	8	39292.8052440492	40281.53124554371
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	23	46	47	0	4	8	42233.03530650853	38016.0231543361
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	23	46	47	1	4	8	38840.78886380353	35573.06328454585
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	24	48	49	0	4	8	35375.02059613599	40304.30756908821
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	24	48	49	1	4	8	36576.5640294331	39582.396212614585
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	25	50	51	0	4	8	34273.653471597994	34449.06708192236
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	25	50	51	1	4	8	33150.99114930078	37167.3349205109
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	26	52	53	0	4	8	37460.581707303776	35881.55544943515
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	26	52	53	1	4	8	32845.98263750384	33935.33586771012
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	27	54	55	0	4	8	31428.02792889899	31078.74502792177
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	27	54	55	1	4	8	29333.620061260382	29244.17115084738
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	28	56	57	0	4	8	34003.01516031518	28421.73878890597
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	28	56	57	1	4	8	29346.80252520873	28575.60025903554
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	29	58	59	0	4	8	29205.496863547327	28261.338404677597
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	29	58	59	1	4	8	26782.368790300505	25593.096993450185
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	30	60	61	0	4	8	28666.390706199127	29157.005566238884
